style,scenario,baseline_median_ms,style_only_median_ms,shaving_only_median_ms,combined_median_ms,style_only_red_pct,shaving_only_red_pct,combined_red_pct,interaction_pct,super_additive
stadia-outdoors,stadia-outdoors/munich-spiral,424.100,474.500,439.800,470.200,-11.884,-3.702,-10.870,4.716,true
stadia-outdoors,stadia-outdoors/munich-zigzag,552.300,471.400,436.200,482.300,14.648,21.021,12.674,-22.995,false
stadia-outdoors,stadia-outdoors/newyork-bearingspin,561.700,643.200,143.300,134.000,-14.510,74.488,76.144,16.165,true
stadia-outdoors,stadia-outdoors/newyork-zoomdrill,566.800,647.200,141.900,136.100,-14.185,74.965,75.988,15.208,true
stadia-outdoors,stadia-outdoors/paris-zigzag,512.200,600.100,137.200,130.700,-17.161,73.214,74.483,18.430,true
stadia-outdoors,stadia-outdoors/paris-zoomdrill,515.800,589.200,134.900,128.500,-14.230,73.846,75.087,15.471,true
stadia-outdoors,stadia-outdoors/rome-spiral,454.000,523.600,134.800,135.100,-15.330,70.308,70.242,15.264,true
stadia-outdoors,stadia-outdoors/sahara-pansweep,203.800,196.200,141.000,136.700,3.729,30.815,32.924,-1.619,false
stadia-outdoors,stadia-outdoors/stockholm-bearingspin,374.500,380.200,141.500,136.000,-1.522,62.216,63.685,2.991,true
stadia-outdoors,stadia-outdoors/swiss-zoomdrill,353.300,355.300,138.200,131.200,-0.566,60.883,62.864,2.547,true
stadia-outdoors,stadia-outdoors/tokyo-spiral,568.400,653.500,134.600,130.500,-14.972,76.319,77.041,15.693,true
stadia-outdoors,stadia-outdoors/tokyo-zigzag,567.100,652.300,135.500,131.700,-15.024,76.107,76.777,15.694,true
stadia-outdoors,stadia-outdoors/venice-spiral,307.500,319.300,135.600,132.400,-3.837,55.902,56.943,4.878,true
toner,toner/amazon-spiral,213.400,212.700,131.200,124.400,0.328,38.519,41.706,2.858,true
toner,toner/beijing-pansweep,369.600,366.600,116.300,114.300,0.812,68.534,69.075,-0.271,false
toner,toner/blackforest-pansweep,280.500,277.400,292.200,285.000,1.105,-4.171,-1.604,1.462,true
toner,toner/blackforest-zigzag,280.300,275.300,294.400,287.300,1.784,-5.030,-2.497,0.749,true
toner,toner/cairo-zigzag,426.600,424.600,134.800,134.100,0.469,68.401,68.565,-0.305,false
toner,toner/munich-spiral,320.800,309.200,322.600,319.500,3.616,-0.561,0.405,-2.650,false
toner,toner/munich-zigzag,320.600,312.200,324.100,315.200,2.620,-1.092,1.684,0.156,true
toner,toner/newyork-bearingspin,385.400,377.500,121.400,118.100,2.050,68.500,69.357,-1.194,false
toner,toner/newyork-zoomdrill,386.900,377.500,121.500,117.400,2.430,68.597,69.656,-1.370,false
toner,toner/paris-zigzag,346.900,334.400,115.200,111.400,3.603,66.792,67.887,-2.508,false
toner,toner/paris-zoomdrill,348.600,333.400,115.500,112.100,4.360,66.867,67.843,-3.385,false
toner,toner/rome-spiral,332.700,328.400,114.900,113.000,1.292,65.464,66.035,-0.721,false
toner,toner/sahara-pansweep,178.800,178.500,132.400,126.900,0.168,25.951,29.027,2.908,true
toner,toner/stockholm-bearingspin,359.200,356.400,125.200,123.400,0.780,65.145,65.646,-0.278,false
toner,toner/swiss-zoomdrill,333.400,334.200,130.800,127.900,-0.240,60.768,61.638,1.110,true
toner,toner/tokyo-spiral,383.200,390.400,116.000,112.700,-1.879,69.729,70.590,2.740,true
toner,toner/tokyo-zigzag,383.700,385.400,115.300,109.900,-0.443,69.950,71.358,1.850,true
toner,toner/venice-spiral,220.200,211.900,129.100,126.900,3.769,41.371,42.371,-2.770,false
