style,variant,step,metric,median,ci_lo,ci_hi,iqr_lo,iqr_hi,n_runs,wilcoxon_p
liberty,step-01-simplify_unary,1,loadMs,465.5500,442.6500,523.4000,338.2000,597.7250,270,0.895307
liberty,step-01-simplify_unary,1,fps,664.0054,637.8581,704.3301,554.6891,854.7364,270,0.420975
liberty,step-04-constant_fold_stats,4,loadMs,459.6000,438.8500,523.7000,335.9750,583.1750,270,1.69808e-18
liberty,step-04-constant_fold_stats,4,fps,665.1239,644.6943,704.8018,551.1476,851.5369,270,0.2561
liberty,step-05-simplify_expressions,5,loadMs,524.9000,476.3500,584.4000,340.9000,673.7750,270,6.05259e-32
liberty,step-05-simplify_expressions,5,fps,645.2933,613.6022,700.6545,502.1068,895.2536,270,1.0296e-08
liberty,step-06-strip_defaults,6,loadMs,524.1500,474.9000,590.0000,340.1750,671.7750,270,3.09678e-31
liberty,step-06-strip_defaults,6,fps,644.7685,617.3588,705.3359,505.5930,897.6838,270,4.69221e-08
liberty,step-07-minify_colors,7,loadMs,523.6500,478.4500,595.4000,341.7000,672.7750,270,2.14919e-30
liberty,step-07-minify_colors,7,fps,642.0043,618.6347,700.2543,504.9162,892.5881,270,1.93258e-10
liberty,step-15-layer_merge,15,loadMs,523.1500,480.2500,586.8000,334.7500,671.2500,270,3.37183e-26
liberty,step-15-layer_merge,15,fps,664.5293,631.5165,714.5590,517.5691,903.1740,270,0.00638723
liberty,step-16-selectivity_reorder,16,loadMs,513.4000,470.1000,585.2000,333.3250,665.2750,270,4.56574e-26
liberty,step-16-selectivity_reorder,16,fps,665.6702,633.5445,716.0742,516.8956,901.5213,270,0.0020489
liberty,step-17-tile_shave_only,17,loadMs,137.4000,136.4000,138.5000,133.5250,147.9000,270,3.86261e-41
liberty,step-17-tile_shave_only,17,fps,1592.3277,1500.4665,1623.9274,1342.3624,1983.9222,270,1.24005e-45
liberty,step-18-tile_shave,18,loadMs,133.9000,132.9000,134.9000,130.1000,140.0250,270,7.81537e-38
liberty,step-18-tile_shave,18,fps,1623.2877,1528.3324,1653.0160,1369.8265,2021.3951,270,1.04987e-45
liberty,step-19-tile_rewrite,19,loadMs,133.7000,132.9000,134.2000,130.2000,137.6750,254,1.42665e-78
liberty,step-19-tile_rewrite,19,fps,1655.2483,1638.6408,1677.6739,1518.4477,2025.7523,254,2.02051e-79
osm-bright,step-00-baseline,0,loadMs,504.8500,487.1000,515.2000,350.9000,595.3000,540,
osm-bright,step-00-baseline,0,fps,667.8517,644.4612,679.0322,549.4980,907.6200,540,
osm-bright,step-01-simplify_unary,1,loadMs,495.9000,487.4500,510.1000,349.6000,598.6000,540,0.387014
osm-bright,step-01-simplify_unary,1,fps,667.2390,647.2814,681.5489,540.0220,911.2864,540,0.0129976
osm-bright,step-03-constant_fold,3,loadMs,536.5000,495.8500,560.2000,351.5000,641.8000,540,2.70186e-60
osm-bright,step-03-constant_fold,3,fps,673.2052,655.1442,681.9415,525.9023,957.4085,540,0.000767267
osm-bright,step-04-constant_fold_stats,4,loadMs,521.4500,490.7000,564.6000,346.2000,634.4000,540,7.962e-61
osm-bright,step-04-constant_fold_stats,4,fps,663.9498,655.0000,685.6459,528.8658,1010.5107,540,2.71606e-05
osm-bright,step-05-simplify_expressions,5,loadMs,530.3500,504.7500,574.1000,349.7000,640.2000,540,3.3039e-62
osm-bright,step-05-simplify_expressions,5,fps,663.6482,655.4248,682.6464,521.3931,1031.7241,540,0.000568494
osm-bright,step-06-strip_defaults,6,loadMs,536.1000,501.2000,584.8000,347.2000,639.4000,540,6.87846e-56
osm-bright,step-06-strip_defaults,6,fps,683.7801,673.0705,704.0741,556.0442,1073.6319,540,8.81284e-75
osm-bright,step-07-minify_colors,7,loadMs,531.9500,496.2000,586.8000,346.3000,637.1000,540,1.06122e-50
osm-bright,step-07-minify_colors,7,fps,682.0058,674.6830,703.6611,558.7980,1050.4755,540,1.19887e-73
osm-bright,step-08-strip_metadata,8,loadMs,530.6000,496.2000,586.8000,347.0000,640.6000,540,1.33875e-55
osm-bright,step-08-strip_metadata,8,fps,684.2869,665.1015,703.9635,560.9453,1072.1898,540,1.80094e-72
osm-bright,step-09-dead_elimination,9,loadMs,539.3000,495.7000,582.9000,346.8000,639.8000,540,1.43467e-46
osm-bright,step-09-dead_elimination,9,fps,682.0221,670.5042,701.6913,568.2006,1034.7314,540,1.24799e-73
osm-bright,step-12-metadata_refinement_paint,12,loadMs,543.8000,510.3000,595.8000,345.6000,661.5000,540,8.94164e-53
osm-bright,step-12-metadata_refinement_paint,12,fps,687.1843,676.1736,707.3414,543.3112,1008.0844,540,3.00874e-68
osm-bright,step-13-metadata_refinement_stats,13,loadMs,529.3500,507.3000,577.1000,342.5000,655.9000,540,4.71189e-45
osm-bright,step-13-metadata_refinement_stats,13,fps,714.4993,701.2182,735.4114,657.1500,1125.3895,540,1.05887e-85
osm-bright,step-14-cleanup,14,loadMs,536.0500,502.4500,576.8000,343.8000,654.2000,540,2.58145e-45
osm-bright,step-14-cleanup,14,fps,716.9214,706.9187,738.4629,647.0998,1132.2114,540,7.60644e-87
osm-bright,step-15-layer_merge,15,loadMs,531.6500,513.9000,571.8000,342.9000,662.1000,540,8.28727e-53
osm-bright,step-15-layer_merge,15,fps,739.4216,717.7510,747.8313,658.5961,1149.8076,540,2.46905e-86
osm-bright,step-16-selectivity_reorder,16,loadMs,531.8000,510.5500,566.6000,342.6000,646.2000,540,3.99303e-48
osm-bright,step-16-selectivity_reorder,16,fps,729.1934,715.6146,741.9151,654.4072,1152.1826,540,8.75196e-88
osm-bright,step-17-tile_shave_only,17,loadMs,137.5000,136.7000,138.7000,134.1000,146.4000,540,3.15461e-76
osm-bright,step-17-tile_shave_only,17,fps,1602.3104,1581.4980,1613.9737,1414.4255,2003.3735,540,1.02325e-89
osm-bright,step-18-tile_shave,18,loadMs,132.6000,131.8000,133.5000,129.2000,139.5000,540,2.26486e-75
osm-bright,step-18-tile_shave,18,fps,1728.7834,1718.0609,1739.7600,1559.4636,2171.1724,540,3.72163e-90
osm-bright,step-19-tile_rewrite,19,loadMs,132.7000,132.1000,133.4000,129.2000,139.7000,540,1.45607e-88
osm-bright,step-19-tile_rewrite,19,fps,1738.3296,1728.2214,1747.9197,1674.2073,2174.8779,540,3.72163e-90
osm-liberty,step-00-baseline,0,loadMs,472.7500,466.4000,514.2000,396.9500,580.8000,270,
osm-liberty,step-00-baseline,0,fps,594.4378,577.0537,619.9353,433.5194,893.5704,270,
osm-liberty,step-01-simplify_unary,1,loadMs,462.0500,435.4500,530.6000,327.4250,586.8750,270,0.0270107
osm-liberty,step-01-simplify_unary,1,fps,593.1718,578.5901,618.0603,431.4165,917.0349,270,0.243605
osm-liberty,step-03-constant_fold,3,loadMs,517.5000,478.7000,577.7000,336.0750,668.9750,270,2.79422e-15
osm-liberty,step-03-constant_fold,3,fps,569.5791,548.5726,623.1770,429.6792,917.9395,270,0.058528
osm-liberty,step-04-constant_fold_stats,4,loadMs,520.7500,489.4000,575.9000,337.0750,670.5250,270,4.16265e-15
osm-liberty,step-04-constant_fold_stats,4,fps,564.0447,553.7190,612.7189,430.6630,922.3320,270,0.000599401
osm-liberty,step-05-simplify_expressions,5,loadMs,508.6500,473.0000,564.0000,340.2500,677.1250,270,2.19601e-15
osm-liberty,step-05-simplify_expressions,5,fps,569.2783,548.3450,621.0680,432.2794,917.1503,270,0.198194
osm-liberty,step-06-strip_defaults,6,loadMs,513.3500,474.8000,569.9000,334.5500,671.9250,270,6.45895e-15
osm-liberty,step-06-strip_defaults,6,fps,577.3391,550.9633,623.4565,429.7088,920.2501,270,0.221675
osm-liberty,step-07-minify_colors,7,loadMs,514.1000,476.5000,575.3000,337.5500,668.6000,270,7.26079e-15
osm-liberty,step-07-minify_colors,7,fps,570.2625,552.1589,621.6288,431.6057,919.7237,270,0.213827
osm-liberty,step-08-strip_metadata,8,loadMs,521.3000,473.0500,575.9500,336.1750,667.4750,270,1.18214e-14
osm-liberty,step-08-strip_metadata,8,fps,564.4574,551.1355,623.3350,432.0741,926.6277,270,0.363313
